english,darija,darija_ar
"It's weird, isn't it?","fchkeel, awlla?","فشكيل, أولّا? "
"Excuse me, do you hear that noise?","sm7 lia, wach katsm3 had SSda3?","سمح ليا, واش كاتسمع هاد الصداع? "
I'm quite glad it's mine coming and not yours,ana fr7an chwia bi annaho dyali lli jay machi dyalk,أنا فرحان شويا بي أنّاهو ديالي اللي جاي ماشي ديالك 
We're safe!,7na f 2aman!,حنا ف أمان! 
He's coming to get us now.,hahoa jay iddina daba.,هاهوا جاي إدّينا دابا. 
"Oh, that's cool","oh, hadchi zine","أُه, هادشي زين "
It's ringing....,hahoa kaySoni....,هاهوا كايصوني.... 
"But by the way, I don't know how to provoke her magical powers","blmonasaba, ana ga3 makan3ref njbed l9iwa ssi7ria dyalha","بلموناسابا, أنا ڭاع ماكانعرف نجبد لقيوا السيحريا ديالها "
I suggest we eat the cheese with the fork,kan9tare7 naklo lfrmaj bl forchiTa,كانقتارح ناكلو لفرماج بل فورشيطا 
We could just phone for a taxi?,n9dro hir ndowro l taxi?,نقدرو هير ندوورو ل تاشي? 
I know you're talking about cheese,3rft annakom kathdro 3la lframj,عرفت أنّاكوم كاتهدرو علا لفرامج 
I have no idea what you're talking about,ma3ndi adna fikra 3la ach katgolo,ماعندي أدنا فيكرا علا أش كاتڭولو 
It's not even straight.,wa howa ga3 mamgadd.,وا هووا ڭاع مامڭادّ. 
They even managed to bend my fork,wa homa ga3 gueddo itniw lfrchiTa dyali,وا هوما ڭاع ڭودّو إتنيو لفرشيطا ديالي 
What does that mean?,ach kay3ni dakchi?,أش كايعني داكشي? 
"Unfortunately, mine is just a normal fork.","lil2asaf, dyali hi forchiTa 3adia.","ليلأساف, ديالي هي فورشيطا عاديا. "
Could it be that it has magic powers?,wach imken tkon 3ndha chi 9iwa si7ria?,واش إمكن تكون عندها شي قيوا سيحريا? 
It means it was well manufactured.,kay3ni annaha tSn3at mzyan.,كايعني أنّاها تصنعات مزيان. 
Patience...,SSber...,الصبر... 
"Oh, maybe I have the extra fork!","oh, imken 3ndi lforchiTa zzayda","أُه, إمكن عندي لفورشيطا الزايدا "
Let me have a look,bllati nDreb Tlila,بلّاتي نضرب طليلا 
You mean that smell's coming from your present?,kat9Sed anna rri7a jayya mn lkado dyalk?,كاتقصد أنّا الريحا جايّا من لكادو ديالك? 
"No, I haven't opened it yet","lla, mazal ma7llito","اللا, مازال ماحلّيتو "
They're taunting us!,kayTll3oha 3lina!,كايطلّعوها علينا! 
Wait... what did they give me?,bllati... ach hadchi lli 3Tawni?,بلّاتي... أش هادشي اللي عطاوني? 
Why were we so naive?,3lach kenna nyya whda?,علاش كنّا نيّا وهدا? 
Oh no!,Laa!,لا! 
With the map we would have quickly found the quickest way to the best restaurant in the area.,blkhariTa knna dghya ghal9aw asra3 Tri9 l a7san restora f ssikteur.,بلخاريطا كنّا دغيا غالقاو أسراع طريق ل أحسان رستورا ف السيكتور. 
Have you opened yours yet?,7lliti dyalk mazal?,حلّيتي ديالك مازال? 
How about the presents they gave us?,wa o dok l koadowat lli 3Tawna?,وا أُ دوك ل كوادووات اللي عطاونا? 
Hmm.,Hmm.,همّ. 
And I thought they looked cute...,o ana knt tanDenn annhom zwinin...,أُ أنا كنت تانضنّ أنّهوم زوينين... 
It was the only way to get them to give us back our food,kant hadik hia Tari9a lwahida bach nj3lohom irddo lina makltna,كانت هاديك هيا طاريقا لواهيدا باش نجعلوهوم إردّو لينا ماكلتنا 
It's stupid to loose when we have a good card!,jat mkllkha annak tkhser onta 3ndk karTa zwina!,جات مكلّخا أنّاك تخسر أُنتا عندك كارطا زوينا! 
What credit cards do you want us to work on?,chmn carte guichet 3lach bitina nkhdmo?,شمن كارت ڭويشت علاش بيتينا نخدمو? 
All right.,maglti 3lib.,ماڭلتي عليب. 
Is she expecting to see you?,wach hia fras8a ghatchoufk?,واش هيا فراسها غاتشوفك? 
I haven't seen the physics teacher,mazal machft l ostad tl fizik,مازال ماشفت ل أُستاد تل فيزيك 
What do you think?,ach ballik?,أش بالّيك? 
Do you know if the professor of physics is here today?,ma3rftich wach l ostad tl fizik kayn 8na lyoum?,ماعرفتيش واش ل أُستاد تل فيزيك كاين هنا ليوم? 
What do you want to do today if we're alone?,ach bghiti tdir lyouma ala knna bo7dna?,أش بغيتي تدير ليوما ألا كنّا بوحدنا? 
I do have an old examination paper,ma3ndich wr9a 9dima tl mti7an,ماعنديش ورقا قديما تل متيحان 
"Yes, my comrades are blocked","wayeh, 3chrani mblokayin","وايه, عشراني مبلوكايين "
I suppose that everyone else is having problems with transport,kanDenn kolchi 3ndo machakil m3a transport,كانضنّ كولشي عندو ماشاكيل معا ترانسپورت 
I did my homework without problem yesterday,gaddit ttamarin bla tta mochkil lbar7,ڭادّيت التامارين بلا التا موشكيل لبارح 
Has class started?,wach bdat l7iSSa?,واش بدات لحيصّا? 
You deserve it.,katsta799ha.,كاتستاحقّها. 
I am hoping that you get a really good result,kantmenna tjib chi no9Ta mberr3a,كانتمنّا تجيب شي نوقطا مبرّعا 
You were right to take the car,kan 3ndk l7e99 fach khditi Tomobil,كان عندك لحقّ فاش خديتي طوموبيل 
"Anyway, how did you do with your homework last night?","mohim, kikhdmti ttamarin lbar7 fllil?","موهيم, كيخدمتي التامارين لبارح فلّيل? "
I came in by car today to avoid the buses.,jit f Tomobil lyoma bach ntfada Tobisat.,جيت ف طوموبيل ليوما باش نتفادا طوبيسات. 
"Besides, you were late yesterday, too.",zid 3liha annak knti m3TTel lbare7 tahoa.,زيد عليها أنّاك كنتي معطّل لبارح تاهوا. 
I missed my bus today,mcha 3lia Tobis,مشا عليا طوبيس 
You're late again. What is your excuse today?,t3TTelti lyom tani. chno l3odr dyalk lyom?,تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم? 
"Yes, goodbye","wayeh, Thlla","وايه, طهلّا "
"Thank you, ma'am, can I sign the presence sheet first?","chokran a madame, wakha nsini wr9a tl7oDor hia lowla?","شوكران أ مادام, واخا نسيني ورقا تلحوضور هيا لوولا? "
Just go away and think about your priorities and what you want to achieve,wa hir sir o fkker fl awlawiat dyalk o ach bghiti t7e99e9,وا هير سير أُ فكّر فل أولاويات ديالك أُ أش بغيتي تحقّق 
get to bed early,sir tn3s bkri,سير تنعس بكري 
"Oh, I'm sorry, I was wrong with you.","Oh, sm7 lia, drt m3ak lghalaT.","أُه, سمح ليا, درت معاك لغالاط. "
"You know, I really liked today's lecture","3rfti chno, ollah asidi ila 3jbni dders tlyouma","عرفتي شنو, أُلّاه أسيدي إلا عجبني الدرس تليوما "
"Anyway, the equations are useless.","mohim, lmo3adalat malay9in lwalo.","موهيم, لموعادالات مالايقين لوالو. "
Are you parents encouraging?,wach walidik kaychjj3ouk?,واش واليديك كايشجّعوك? 
"I have principles, I told you","3ndi mabadi2, gltha lik","عندي ماباديء, ڭلتها ليك "
How do you think we can resolve this?,kifach kaybbalik imken n7ello hadchi?,كيفاش كايبّاليك إمكن نحلّو هادشي? 
You are not a toddler!!,nta machi brhouch!!,نتا ماشي برهوش!! 
I missed a lot of your classes cause it was nap time,tgyyebt 3la bzaf tl7iSaS dyalk 7it jaw fo9itt l9ayloula,تڭيّبت علا بزاف تلحيصاص ديالك حيت جاو فوقيتّ لقايلولا 
Do you go to bed late?,wach katn3es m3TTel?,واش كاتنعس معطّل? 
That's true.,kayna.,كاينا. 
fair enough.,m39oula.,معقولا. 
Even though I'm getting up late,wakha hakkak kanfi9 m3TTel,واخا هاكّاك كانفيق معطّل 
"Oh, but I'm learning a lot","Oh, walakin rah tant3ellem bzzaf","أُه, والاكين راه تانتعلّم بزّاف "
I am not lucky,ma3ndi zher,ماعندي زهر 
do you think it is for my benefit?,wach tayballik annaha mzyana lia?,واش تايبالّيك أنّاها مزيانا ليا? 
it's fun,hadchi komik,هادشي كوميك 
I have the same principles as the whole class,3ndi nfs lmabadi2 b7al l9ism kaml,عندي نفس لماباديء بحال لقيسم كامل 
Really?,wayli?,وايلي? 
Well I think your principles are flawed,mohim ana tayballia lmabadi2 dyalk m3owwja,موهيم أنا تايبالّيا لماباديء ديالك معووّجا 
that's correct.,hia hadik.,هيا هاديك. 
that's not correct.,ma8ia hadikch.,ماهيا هاديكش. 
But you're lucky I was able to do my homework last Thursday,walakin 3ndk zzher gddit nSawb ttamarin dyali lkhmis lli fat,والاكين عندك الزهر ڭدّيت نصاوب التامارين ديالي لخميس اللي فات 
I'll do it next week,daba ndirha ssimana jjaya,دابا نديرها السيمانا الجايا 
But I don't work much on weekends,walakin makankhdmch mzyan flkher t simana,والاكين ماكانخدمش مزيان فلخر ت سيمانا 
You should put Facebook and any other diverting social media sites away,khssek tb33ed 3lik Facebook o ga3 mawa9i3 tawaSol ljtima3i lkhrin,خسّك تبعّد عليك فاسبوك أُ ڭاع ماواقيع تاواصول لجتيماعي لخرين 
What's going to happen on the exam?,ach ghayo93 flmti7an?,أش غايوقع فلمتيحان? 
The instructions weren't clear.,twji8at makanoch waD7in.,توجيهات ماكانوش واضحين. 
You seem to have had difficulty with the equations,kayban b7alla kan 3ndk mochkil m3a l as2ila,كايبان بحالّا كان عندك موشكيل معا ل أسإلا 
"Not easy, but I think I did it","masa8lach, walakin laho3lem ila drtha","ماساهلاش, والاكين لاهوعلم إلا درتها "
So how did you find your maths homework?,ewa kijawk ttamarin tl maths?,إوا كيجاوك التامارين تل ماتهس? 
"Well, it's done now.","mohim, salina daba.","موهيم, سالينا دابا. "
Then sit down quickly and we will look at your homework,ewa gles bzzerba o ghanchoufo lik ttamarin dyalk,إوا ڭلس بزّربا أُ غانشوفو ليك التامارين ديالك 
Spit out your chewing gum! you know the school rules,dfel dik lmska! rah 3rfti l9awanin tlmdrasa!,دفل ديك لمسكا! راه عرفتي لقاوانين تلمدراسا! 
I couldn't find any on the way,mal9it tta wahd fTTri9,مالقيت التا واهد فطّريق 
"Yes, of course.","ah, darouri.","أه, داروري. "
"Hello, ma'am.",salam madame.,سالام مادام. 
Could you please put that gum in the bin,wakha 3afak tlou7 dik lmska f zzbel,واخا عافاك تلوح ديك لمسكا ف الزبل 
Hurry up,a tl9na,أ تلقنا 
"Just in the right hand drawer, I'll get the glasses","hir flmjerr lli 3la iddik limen, daba njib nnDader","هير فلمجرّ اللي علا إدّيك ليمن, دابا نجيب النضادر "
All this work for nothing.,had lkhdma kolha 3la walo.,هاد لخدما كولها علا والو. 
That's too bad.,hadchi mamzyanch.,هادشي مامزيانش. 
I had a simple objective,kan 3ndi 8adaf bsiT,كان عندي هاداف بسيط 
There is no point being grumpy at home,makayna tta m3na tb9a tnguer f ddar,ماكاينا التا معنا تبقا تنڭور ف الدار 
"Being late was unavoidable, so just play the music","makanch momkin ntfadaw tt3Tal, idan hi tl9 lmousi9a","ماكانش مومكين نتفاداو التعطال, إدان هي تلق لموسيقا "
And I had to explain the rest of the day.,o kan khssni nfsser lkmala t nnhar.,أُ كان خسّني نفسّر لكمالا ت النهار. 
They thought I'd make myself rich,kan kays7ablihoum ghanredd rassi ghany,كان كايسحابليهوم غانردّ راسّي غاني 
I think we should just make some tea and you should forget about work,kayballia khssna ngaddo chi brrad t atay o nsa 3lia lkhdma,كايبالّيا خسّنا نڭادّو شي برّاد ت أتاي أُ نسا عليا لخدما 
just forget about it,nsa 3lia hadchi,نسا عليا هادشي 
The meeting was canceled,ljtima3 ttlgha,لجتيماع التلغا 
Was it really so bad?,wach kan dakchi khayb bSSe7?,واش كان داكشي خايب بصّح? 
so?,ewa?,إوا? 
The results of the year,nnata2ij dyal l3am,الناتاإج ديال لعام 
And I was the one who presented,w knt ana hoa lli 9ddem,و كنت أنا هوا اللي قدّم 
What could you do?,ach momkin ddir?,أش مومكين الدير? 
And there was this important meeting,w kan had ljtima3 lmohimm,و كان هاد لجتيماع لموهيمّ 
I was late for work because of the strikes.,t3TTlt 3la lkhdma bsbab l iDrabat.,تعطّلت علا لخدما بسباب ل إضرابات. 
It's all right.,kolchi hoa hadak.,كولشي هوا هاداك. 
do you want to tell me about it,wach bghiti thder lia 3lih,واش بغيتي تهدر ليا عليه 
Would it not be better if we think about something positive and fun?,wach machi 7ssen annana nfkkro fchi haja ijabia o katnchcheT,واش ماشي حسّن أنّانا نفكّرو فشي هاجا إجابيا أُ كاتنشّط 
I had a really bad day.,dowezt wahd nhar mafih maytchaf.,دووزت واهد نهار مافيه مايتشاف. 
