"blmonasaba, ana ga3 makan3ref njbed l9iwa ssi7ria dyalha","But by the way, I don't know how to provoke her magical powers","بالمناسبة, أنا ڭاع ماكانعرف نجبد القوى السحرية ديالها"
kan9tare7 naklo lfrmaj bl forchiTa,I suggest we eat the cheese with the fork,كانقتارح ناكلو لفرماج بل فورشيطا
n9dro hir ndowro l taxi?,We could just phone for a taxi?,نقدرو غير ندورو ل تاكسي?
3rft annakom kathdro 3la lframj,I know you're talking about cheese,عرفت أنّكم كاتهدرو على لفرامج
ma3ndi adna fikra 3la ach katgolo,I have no idea what you're talking about,ماعندي أدنى فكرة على أش كاتڭولو
wa howa ga3 mamgadd.,It's not even straight.,وا هو ڭاع مامڭادّ.
wa homa ga3 gueddo itniw lfrchiTa dyali,They even managed to bend my fork,وا هوما ڭاع ڭدّو إتنيو لفرشيطة ديالي
ach kay3ni dakchi?,What does that mean?,أش كايعني داكشي?
"lil2asaf, dyali hi forchiTa 3adia.","Unfortunately, mine is just a normal fork.","للأسف, ديالي هي فرشيطة عادية."
wach imken tkon 3ndha chi 9iwa si7ria?,Could it be that it has magic powers?,واش إمكن تكون عندها شي قوى سحرية?
kay3ni annaha tSn3at mzyan.,It means it was well manufactured.,كايعني أنّها تصنعات مزيان.
SSber...,Patience...,الصبر...
"oh, imken 3ndi lforchiTa zzayda","Oh, maybe I have the extra fork!","أوه, إمكن عندي لفورشيطة الزايدة"
bllati nDreb Tlila,Let me have a look,بلّاتي نضرب طليلة
kat9Sed anna rri7a jayya mn lkado dyalk?,You mean that smell's coming from your present?,كاتقصد أنّ الريحة جايّا من لكادو ديالك?
"lla, mazal ma7llito","No, I haven't opened it yet","لا, مازال ماحلّيتو"
kayTll3oha 3lina!,They're taunting us!,كايطلّعوها علينا!
bllati... ach hadchi lli 3Tawni?,Wait... what did they give me?,بلّاتي... أش هادشي لي عطاوني?
3lach kenna nyya whda?,Why were we so naive?,علاش كنّا نيّة وحدة?
Laa!,Oh no!,لا!
blkhariTa knna dghya ghal9aw asra3 Tri9 l a7san restora f ssikteur.,With the map we would have quickly found the quickest way to the best restaurant in the area.,بالخريطة كنّا دغيا غالقاو أسرع طريق ل أحسن ريسطورة ف السيكتور.
7lliti dyalk mazal?,Have you opened yours yet?,حلّيتي ديالك مازال?
wa o dok l kadowat lli 3Tawna?,How about the presents they gave us?,وا و دوك ل كادوات لي عطاونا?
Hmm.,Hmm.,هممم.
o ana knt tanDenn annhom zwinin...,And I thought they looked cute...,و أنا كنت تانضنّ أنّهم زوينين...
kant hadik hia Tari9a lwahida bach nj3lohom irddo lina makltna,It was the only way to get them to give us back our food,كانت هاديك هيا الطريقة الوحيدة باش نجعلوهوم إردّو لينا ماكلتنا
jat mkllkha annak tkhser onta 3ndk karTa zwina!,It's stupid to loose when we have a good card!,جات مكلّخة أنّك تخسر ونتا عندك كارطة زوينة!
chmn carte guichet 3lach bitina nkhdmo?,What credit cards do you want us to work on?,شمن كارت ڭيشي علاش بيتينا نخدمو?
maglti 3ib.,All right.,ماڭلتي عيب.
wach hia fras8a ghatchoufk?,Is she expecting to see you?,واش هيا فراسها غاتشوفك?
mazal machft l ostad tl fizik,I haven't seen the physics teacher,مازال ماشفت ل أستاد تل فيزيك
ach ballik?,What do you think?,أش بالّيك?
ma3rftich wach l ostad tl fizik kayn 8na lyoum?,Do you know if the professor of physics is here today?,ماعرفتيش واش ل أستاد تل فيزيك كاين هنا ليوم?
ach bghiti tdir lyouma ala knna bo7dna?,What do you want to do today if we're alone?,أش بغيتي تدير ليوما ألا كنّا بوحدنا?
ma3ndich wr9a 9dima tl mti7an,I do have an old examination paper,ماعنديش ورقة قديمة تل امتحان
"wayeh, 3chrani mblokyin","Yes, my comrades are blocked","وايه, عشراني مبلوكين"
kanDenn kolchi 3ndo machakil m3a transport,I suppose that everyone else is having problems with transport,كانضنّ كولشي عندو مشاكل معا ترانسپور
gaddit ttamarin bla tta mochkil lbar7,I did my homework without problem yesterday,ڭادّيت التمارين بلا تا موشكيل لبارح
wach bdat l7iSSa?,Has class started?,واش بدات لحصّة?
katsta799ha.,You deserve it.,كاتستاحقّها.
kantmenna tjib chi no9Ta mberr3a,I am hoping that you get a really good result,كانتمنّا تجيب شي نقطة مبرّعة
kan 3ndk l7e99 fach khditi Tomobil,You were right to take the car,كان عندك لحقّ فاش خديتي طوموبيل
"mohim, kikhdmti ttamarin lbar7 fllil?","Anyway, how did you do with your homework last night?","موهيم, كيخدمتي التمارين لبارح فلّيل?"
jit f Tomobil lyoma bach ntfada Tobisat.,I came in by car today to avoid the buses.,جيت ف طوموبيل ليوما باش نتفادا طوبيسات.
zid 3liha annak knti m3TTel lbare7 tahoa.,"Besides, you were late yesterday, too.",زيد عليها أنّك كنتي معطّل لبارح تاهوا.
mcha 3lia Tobis,I missed my bus today,مشا عليا طوبيس
t3TTelti lyom tani. chno l3odr dyalk lyom?,You're late again. What is your excuse today?,تعطّلتي ليوم تاني. شنو العدر ديالك اليوم?
"wayeh, Thlla","Yes, goodbye","وايه, طهلّا"
"chokran a madame, wakha nsini wr9a tl7oDor hia lowla?","Thank you, ma'am, can I sign the presence sheet first?","شكرا أ مادام, واخا نسيني ورقة تلحضور هيا لولا?"
wa hir sir o fkker fl awlawiat dyalk o ach bghiti t7e99e9,Just go away and think about your priorities and what you want to achieve,وا غير سير و فكّر فل أولويات ديالك و أش بغيتي تحقّق
sir tn3s bkri,get to bed early,سير تنعس بكري
"Oh, sm7 lia, drt m3ak lghalaT.","Oh, I'm sorry, I was wrong with you.","أوه, سمح ليا, درت معاك لغلط."
"3rfti chno, ollah asidi ila 3jbni dders tlyouma","You know, I really liked today's lecture","عرفتي شنو, و الله أسيدي إلا عجبني الدرس تليوما"
"mohim, lmo3adalat malay9in lwalo.","Anyway, the equations are useless.","موهيم, لمعادلات مالايقين لوالو."
wach walidik kaychjj3ouk?,Are you parents encouraging?,واش واليديك كايشجّعوك?
"3ndi mabadi2, gltha lik","I have principles, I told you","عندي مبادئ, ڭلتها ليك"
kifach kaybbalik imken n7ello hadchi?,How do you think we can resolve this?,كيفاش كايبّاليك إمكن نحلّو هادشي?
nta machi brhouch!!,You are not a toddler!!,نتا ماشي برهوش!!
tgyyebt 3la bzaf tl7iSaS dyalk 7it jaw fo9itt l9ayloula,I missed a lot of your classes cause it was nap time,تغيّبت على بزاف تلحصص ديالك حيت جاو فوقيتّ لقيلولة
wach katn3es m3TTel?,Do you go to bed late?,واش كاتنعس معطّل?
kayna.,That's true.,كاينة.
m39oula.,fair enough.,معقولة.
wakha hakkak kanfi9 m3TTel,Even though I'm getting up late,واخا هاكّاك كانفيق معطّل
"Oh, walakin rah tant3ellem bzzaf","Oh, but I'm learning a lot","أوه, و لكن راه تانتعلّم بزّاف"
ma3ndi zher,I am not lucky,ماعندي زهر
wach tayballik annaha mzyana lia?,do you think it is for my benefit?,واش تايبالّيك أنّها مزيانا ليا?
hadchi komik,it's fun,هادشي كوميك
3ndi nfs lmabadi2 b7al l9ism kaml,I have the same principles as the whole class,عندي نفس المبادئ بحال لقسم كامل
wayli?,Really?,وايلي?
mohim ana tayballia lmabadi2 dyalk m3owwja,Well I think your principles are flawed,موهيم أنا تايبالّيا المبادئ ديالك معوّجة
hia hadik.,that's correct.,هيا هاديك.
ma8ia hadikch.,that's not correct.,ماهيا هاديكش.
walakin 3ndk zzher gddit nSawb ttamarin dyali lkhmis lli fat,But you're lucky I was able to do my homework last Thursday,و لكن عندك الزهر قدّيت نصاوب التمارين ديالي لخميس لي فات
daba ndirha ssimana jjaya,I'll do it next week,دابا نديرها السيمانة الجاية
walakin makankhdmch mzyan flkher t simana,But I don't work much on weekends,و لكن ماكانخدمش مزيان فلخر ت سيمانا
khssek tb33ed 3lik Facebook o ga3 mawa9i3 tawaSol ljtima3i lkhrin,You should put Facebook and any other diverting social media sites away,خسّك تبعّد عليك فايسبوك و ڭاع مواقع التواصل لجتماعي لخرين
ach ghayo93 flmti7an?,What's going to happen on the exam?,أش غايوقع فل امتحان?
twji8at makanoch waD7in.,The instructions weren't clear.,توجيهات ماكانوش واضحين.
kayban b7alla kan 3ndk mochkil m3a l as2ila,You seem to have had difficulty with the equations,كايبان بحالّا كان عندك موشكيل معا ل أسئلة
"masa8lach, walakin laho3lem ila drtha","Not easy, but I think I did it","ماساهلاش, و لكن لاهوعلم إلا درتها"
ewa kijawk ttamarin tl maths?,So how did you find your maths homework?,إوا كيجاوك التمارين تل ماط?
"mohim, salina daba.","Well, it's done now.","موهيم, سالينا دابا."
ewa gles bzzerba o ghanchoufo lik ttamarin dyalk,Then sit down quickly and we will look at your homework,إوا ڭلس بزّربا و غانشوفو ليك التمارين ديالك
dfel dik lmska! rah 3rfti l9awanin tlmdrasa!,Spit out your chewing gum! you know the school rules,دفل ديك لمسكة! راه عرفتي لقوانين تلمدراسة!
mal9it tta wahd fTTri9,I couldn't find any on the way,مالقيت تا واحد فطّريق
"ah, darouri.","Yes, of course.","أه, ضروري."
salam madame.,"Hello, ma'am.",سلام مادام.
wakha 3afak tlou7 dik lmska f zzbel,Could you please put that gum in the bin,واخا عافاك تلوح ديك المسكة ف الزبل
a tl9na,Hurry up,أ تلقنا
"hir flmjerr lli 3la iddik limen, daba njib nnDader","Just in the right hand drawer, I'll get the glasses","هير فلمجرّ لي على إدّيك ليمن, دابا نجيب النضادر"
had lkhdma kolha 3la walo.,All this work for nothing.,هاد لخدمة كولها على والو.
hadchi mamzyanch.,That's too bad.,هادشي مامزيانش.
kan 3ndi 8adaf bsiT,I had a simple objective,كان عندي هدف بسيط
makayna tta m3na tb9a tnguer f ddar,There is no point being grumpy at home,ماكاينا تا معنا تبقا تنڭور ف الدار
"makanch momkin ntfadaw tt3Tal, idan hi tl9 lmousi9a","Being late was unavoidable, so just play the music","ماكانش ممكن نتفاداو التعطال, إذن هي تلق لموسيقا"
o kan khssni nfsser lkmala t nnhar.,And I had to explain the rest of the day.,و كان خسّني نفسّر لكمالا ت النهار.
kan kays7ablihoum ghanredd rassi ghany,They thought I'd make myself rich,كان كايسحابليهوم غانردّ راسّي غني
kayballia khssna ngaddo chi brrad t atay o nsa 3lia lkhdma,I think we should just make some tea and you should forget about work,كايبالّيا خسّنا نڭادّو شي برّاد ت أتاي و نسا عليا لخدمة
nsa 3lia hadchi,just forget about it,نسا عليا هادشي
ljtima3 ttlgha,The meeting was canceled,الاجتماع تلغا
wach kan dakchi khayb bSSe7?,Was it really so bad?,واش كان داكشي خايب بصّح?
ewa?,so?,إوا?
nnata2ij dyal l3am,The results of the year,النتائج ديال لعام
w knt ana hoa lli 9ddem,And I was the one who presented,و كنت أنا هو لي قدّم
ach momkin ddir?,What could you do?,أش ممكن دير?
w kan had ljtima3 lmohimm,And there was this important meeting,و كان هاد لجتماع لمهمّ
t3TTlt 3la lkhdma bsbab l iDrabat.,I was late for work because of the strikes.,تعطّلت على لخدمة بسباب ل إضرابات.
kolchi hoa hadak.,It's all right.,كولشي هو هاداك.
wach bghiti thder lia 3lih,do you want to tell me about it,واش بغيتي تهضر ليا عليه
wach machi 7ssen annana nfkkro fchi haja ijabia o katnchcheT,Would it not be better if we think about something positive and fun?,واش ماشي حسّن أنّنا نفكّرو فشي حاجة إيجابية و كاتنشّط
dowezt wahd nhar mafih maytchaf.,I had a really bad day.,دووزت واحد نهار مافيه مايتشاف.
kifach?,Excuse me?,كيفاش?
wach wakha tkhelli lkhdma flkhdma?,Can you just leave work at work?,واش واخا تخلّي لخدمة فلخدمة?
anchofk mn b3d o gollia ach l9iti,I will see you later and you can tell me what you've found,أنشوفك من بعد و ڭولّيا أش لقيتي
ghdi ntwaSl m3ahom daba.,I'll contact the team immediately.,غدي نتواصل معاهوم دابا.
hania.,No problem.,هانيا.
tantmenna ngueddo nkhrjo dghya!,I hope we can get out quickly!,تانتمنّا نڭدّو نخرجو دغيا!
o dikssa3 khdit ssansour bach n9essi,And then I took the elevator to eat,و ديكسّاع خديت السانسور باش نقسّي
skhon bzzaf...,It is very hot...,سخون بزّاف...
3ndi chwia tlma ala biti.,I've got some water if you want.,عندي شوية تلما ألا بيتي.
l7al kayskhon 8naya o ghaliban ba9i khssna tsnnaw chi 15 d9i9a khra,It's getting hot in here and we probably have another 15 minutes to wait,لحال كايسخون هنايا و غالبا باقي خسّنا تسنّاو شي 15 دقيقة خرا
wach nta hania?,Are you feeling OK?,واش نتا هانيا?
